curLapTime,speedX,steer,accel,brake,gear,trackPos,angle,damage,rpm,distRaced
1.264,10.1291,0.35,0.0,0.0,1,0.32927,0.0338461,0.0,1247.96,1.78198
1.284,10.4403,0.39999999999999997,0.0,0.0,1,0.329012,0.0347058,0.0,1316.84,1.84119
1.304,10.7924,0.44999999999999996,0.0,0.0,1,0.328736,0.0355622,0.0,1352.1,1.90259
1.324,11.1799,0.49999999999999994,0.0,0.0,1,0.328445,0.036524,0.0,1387.55,1.96606
1.344,11.6199,0.3499999999999999,0.0,0.0,1,0.328133,0.0374362,0.0,1437.98,2.03162
1.364,11.9959,0.24499999999999994,0.0,0.0,1,0.327805,0.0383965,0.0,1460.19,2.09949
1.384,12.339,0.17149999999999996,0.0,0.0,1,0.327457,0.0393426,0.0,1532.08,2.16943
1.404,12.6733,0.12004999999999996,0.0,0.0,1,0.327088,0.0403644,0.0,1548.97,2.24158
1.424,12.7197,0.08403499999999997,0.0,0.0,1,0.326705,0.0413987,0.0,1367.68,2.31482
1.444,12.7336,0.058824499999999974,0.0,0.0,1,0.326312,0.0425031,0.0,1455.35,2.38806
1.464,12.745,0.04117714999999998,0.0,0.0,1,0.32591,0.0435225,0.0,1445.46,2.46118
1.484,12.696,0.028824004999999986,0.0,0.0,1,0.3255,0.0445611,0.0,1446.6,2.53418
1.504,12.6275,0.02017680349999999,0.0,0.0,1,0.325124,0.0452325,0.0,1453.45,2.60706
1.524,12.6374,0.014123762449999992,0.0,0.0,1,0.324815,0.0455233,0.0,1433.5,2.67981
1.544,12.6694,0.009886633714999994,0.0,0.0,1,0.324591,0.0452539,0.0,1446.94,2.75256
1.564,12.6597,0.0,0.0,0.0,1,0.32445,0.0446174,0.0,1438.14,2.8252
1.584,12.5595,0.0,0.0,0.0,1,0.324396,0.0434853,0.0,1447.61,2.89771
1.604,12.516,0.0,0.0,0.0,1,0.324437,0.0419676,0.0,1431.46,2.97009
1.624,12.5227,0.0,0.0,0.0,1,0.324576,0.0399033,0.0,1432.13,3.04248
1.644,12.5565,0.0,0.0,0.0,1,0.324817,0.0375068,0.0,1434.33,3.11462
1.664,12.527,0.0,0.0,0.0,1,0.32516,0.0346376,0.0,1411.1,3.18665
1.684,12.4092,0.0,0.0,0.0,1,0.325602,0.0314023,0.0,1442.46,3.25854
1.704,12.409,0.05,0.0,0.0,1,0.326035,0.0286557,0.0,1409.46,3.33032
1.724,12.4391,0.1,0.0,0.0,1,0.326317,0.0271236,0.0,1427.66,3.40198
1.744,12.4803,0.15000000000000002,0.0,0.0,1,0.326461,0.0262992,0.0,1409.67,3.47375
1.764,12.4522,0.2,0.0,0.0,1,0.326493,0.0260932,0.0,1422.76,3.54541
1.784,12.4069,0.25,0.0,0.0,1,0.326447,0.0261857,0.0,1419.9,3.61694
1.804,12.3559,0.3,0.0,0.0,1,0.326341,0.0266358,0.0,1409.74,3.68835
1.824,12.3692,0.35,0.0,0.0,1,0.326188,0.0272199,0.0,1422.44,3.75977
1.844,12.4418,0.24499999999999997,0.0,0.0,1,0.326003,0.0279562,0.0,1399.7,3.83105
1.864,12.3595,0.17149999999999996,0.0,0.0,1,0.325792,0.0287268,0.0,1422.08,3.90222
1.884,12.306,0.12004999999999996,0.0,0.0,1,0.325559,0.029648,0.0,1404.15,3.97339
1.904,12.2884,0.08403499999999997,0.0,0.0,1,0.325309,0.0305125,0.0,1409.85,4.04431
1.924,12.3411,0.058824499999999974,0.0,0.0,1,0.325039,0.0315387,0.0,1407.38,4.11523
1.944,12.3593,0.04117714999999998,0.0,0.0,1,0.324751,0.0325171,0.0,1394.32,4.18616
1.964,12.2938,0.028824004999999986,0.0,0.0,1,0.324452,0.0335538,0.0,1416.1,4.25696
1.984,12.2511,0.02017680349999999,0.0,0.0,1,0.324144,0.0345299,0.0,1387.27,4.32751
2.006,12.2589,0.014123762449999992,0.0,0.0,1,0.323797,0.0356824,0.0,1367.42,4.40515
2.028,12.2359,0.009886633714999994,0.0,0.0,1,0.323438,0.0367691,0.0,1404.69,4.48267
2.05,12.2314,0.0,0.0,0.0,1,0.323067,0.0379035,0.0,1398.37,4.56006
2.072,12.2147,0.0,0.0,0.0,1,0.322734,0.0385963,0.0,1394.5,4.63733
2.094,12.186,0.0,0.0,0.0,1,0.322469,0.0389315,0.0,1413.2,4.7146
